cycle,group,total_contri,group_sorted,grid_y,grid_x,total_eachcycle,each_pct
2014,Agriculture,77629479,Agriculture,3,2,2007975991,0.0386605613552876
2012,Agriculture,92208867,Agriculture,3,2,2823623338,0.0326562207356284
2010,Agriculture,60171217,Agriculture,3,2,1544135626,0.0389675725285028
2008,Agriculture,70217952,Agriculture,3,2,2103289627,0.0333848230403506
2006,Agriculture,48153443,Agriculture,3,2,1295540858,0.0371686023660706
2004,Agriculture,54690978,Agriculture,3,2,1532162667,0.0356952816942641
2002,Agriculture,53727164,Agriculture,3,2,1162945837,0.0461991971514319
2000,Agriculture,60072829,Agriculture,3,2,1337437996,0.0449163469107842
1998,Agriculture,42962467,Agriculture,3,2,746473985,0.0575538704138497
1996,Agriculture,52646213,Agriculture,3,2,840671269,0.0626240183783419
1994,Agriculture,34609050,Agriculture,3,2,534775629,0.0647169544070603
1992,Agriculture,38331773,Agriculture,3,2,571846071,0.0670316278171998
1990,Agriculture,24256034,Agriculture,3,2,347514026,0.0697987194335575
2014,"Communication & 
 Electronics",114645898,"Communication & 
 Electronics",2,2,2007975991,0.0570952533864236
2012,"Communication & 
 Electronics",201743964,"Communication & 
 Electronics",2,2,2823623338,0.0714486104732713
2010,"Communication & 
 Electronics",87977680,"Communication & 
 Electronics",2,2,1544135626,0.0569753579404818
2008,"Communication & 
 Electronics",151416056,"Communication & 
 Electronics",2,2,2103289627,0.071990112087402
2006,"Communication & 
 Electronics",77085079,"Communication & 
 Electronics",2,2,1295540858,0.059500307168236
2004,"Communication & 
 Electronics",105403628,"Communication & 
 Electronics",2,2,1532162667,0.0687940192449553
2002,"Communication & 
 Electronics",116081087,"Communication & 
 Electronics",2,2,1162945837,0.0998164173315666
2000,"Communication & 
 Electronics",131638076,"Communication & 
 Electronics",2,2,1337437996,0.0984255542265901
1998,"Communication & 
 Electronics",56023297,"Communication & 
 Electronics",2,2,746473985,0.0750505685740676
1996,"Communication & 
 Electronics",62973634,"Communication & 
 Electronics",2,2,840671269,0.0749087500931354
1994,"Communication & 
 Electronics",33283231,"Communication & 
 Electronics",2,2,534775629,0.0622377483099552
1992,"Communication & 
 Electronics",38628891,"Communication & 
 Electronics",2,2,571846071,0.0675512047017282
1990,"Communication & 
 Electronics",19554062,"Communication & 
 Electronics",2,2,347514026,0.0562684108755944
2014,Construction,69974499,Construction,3,1,2007975991,0.0348482747371654
2012,Construction,125060076,Construction,3,1,2823623338,0.0442906368979728
2010,Construction,71575978,Construction,3,1,1544135626,0.046353426988414
2008,Construction,97194636,Construction,3,1,2103289627,0.0462107713328251
2006,Construction,61961851,Construction,3,1,1295540858,0.0478270141905474
2004,Construction,77952641,Construction,3,1,1532162667,0.0508775227845961
2002,Construction,48912604,Construction,3,1,1162945837,0.0420592279053835
2000,Construction,60159078,Construction,3,1,1337437996,0.0449808351339825
1998,Construction,34968575,Construction,3,1,746473985,0.0468450015709523
1996,Construction,38104827,Construction,3,1,840671269,0.0453266673967896
1994,Construction,23372390,Construction,3,1,534775629,0.0437050395204154
1992,Construction,25599106,Construction,3,1,571846071,0.0447657285731356
1990,Construction,14039057,Construction,3,1,347514026,0.0403985334393381
2014,Defense,25327002,Defense,3,4,2007975991,0.012613199616688
2012,Defense,28565711,Defense,3,4,2823623338,0.0101166861087901
2010,Defense,23938935,Defense,3,4,1544135626,0.0155031297749489
2008,Defense,25995210,Defense,3,4,2103289627,0.0123593107037179
2006,Defense,18889912,Defense,3,4,1295540858,0.0145807149835177
2004,Defense,18839114,Defense,3,4,1532162667,0.0122957662432066
2002,Defense,16684119,Defense,3,4,1162945837,0.0143464282421263
2000,Defense,15299730,Defense,3,4,1337437996,0.0114395807848725
1998,Defense,10147832,Defense,3,4,746473985,0.0135943545306539
1996,Defense,13015269,Defense,3,4,840671269,0.0154819957335785
1994,Defense,10096864,Defense,3,4,534775629,0.0188805612157019
1992,Defense,10166547,Defense,3,4,571846071,0.0177784678702462
1990,Defense,8465359,Defense,3,4,347514026,0.0243597621006526
2014,"Energy & 
 Natural Resources",116189343,"Energy & 
 Natural Resources",2,4,2007975991,0.0578639104853719
